"Date","Open","High","Low","Close","Volume","OpenInt"
12/11/95,69.500,69.700,69.480,69.570,56186,85341
12/12/95,69.550,69.670,69.260,69.370,34054,84212
12/13/95,69.410,69.410,69.120,69.250,27024,83324
12/14/95,69.200,70.020,69.150,69.830,40613,81938
12/15/95,69.860,69.880,69.500,69.600,25573,79424
12/18/95,69.720,70.300,69.670,70.280,27546,78155
12/19/95,70.040,70.350,69.630,69.660,19627,52695
12/20/95,69.650,69.810,69.430,69.700,16705,52760
12/21/95,69.680,69.980,69.640,69.800,7992,52363
12/22/95,69.810,69.970,69.470,69.940,10847,53088
12/26/95,69.880,70.200,69.840,70.170,7387,52039
12/27/95,70.210,70.260,69.900,70.000,11789,52381
12/28/95,69.960,70.280,69.620,69.790,14148,52119
12/29/95,69.740,70.250,69.660,69.880,8245,52439
01/02/96,70.130,70.170,69.820,69.880,20080,54054
01/03/96,69.850,69.910,69.350,69.410,26592,57370
01/04/96,69.380,69.490,68.800,69.390,45236,66970
01/05/96,69.400,70.030,69.300,69.710,32719,61821
01/08/96,69.570,69.780,69.410,69.720,12619,0
